Designator,Footprint,Quantity,Value,LCSC Part #
AD5941,QFN-52-1EP_7x8mm_P0.5mm_EP5.41x6.45mm,1,AD5941BCPZ-RL7,
"BOOT0, RST0",SW_Push_1P1T_NO_CK_KMR2,2,SPST-PTS830GG140,
"C1, C17, C2, C3, C4, C5, C6",C0402,7,10u,
"C10, C12, C8, C9",C0402,4,470n,
C11,C0402,1,4.7u,
"C13, C14, C15, C16, C18, C19",C0402,6,100n,
C7,C0402,1,1u,
CHRG0,LED-0603,1,YLW,
CS0,TP20SQ_385,1,TPTP20SQ,
D1,SOD-323_39314421,1,BAT20JFILM,
"DEBUG-PORT, I2C0, SPI0, UART0",1X04,4,,
ELECTRODES0,PinSocket_1x03_P1.00mm_Vertical,1,CONN_04,
ESP32,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R8,
"GPIOS/RST0, PERIPHERALS0",1X04_1.27MM,2,,
IC1,TSOT-23-8_HandSoldering,1,MCP73831/OT,
IC2,SOT23-5L,1,MCP73831/OT,
LDO0,SOT95P285X140-5N_39313995,1,AP2112K-3.3TRG1,
LIPO1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,JST_2MM_MALE,
PWR0,LED-0603,1,GREEN,
Q1,SOT23-3,1,2.5A/30V/105mΩ,
R1,R0402,1,10k,
"R10, R11, R12, R13, R6, R7, R8, R9",R0402,8,47k,
"R2, R3, R5",R0402,3,4k7,
R4,R0603,1,100k,
"RC0, XTAL0",1X02_1.27MM,2,,
RCAL0,1X02,1,,
SDCARD0,microSD_HC_Hirose_DM3D-SF,1,MICROSD,
"TP2, TP3, TP4, UNK2V5, VB0, VCAP0, VZ0",PAD.03X.05,7,,
USB0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,10118192-0001LF,
