id,paper_title,doi,component,ratio_value,ratio_unit,role,confidence
146,Carbon Nanotube Thin Film Field Emitting Diode: Understanding the System Response Based on Multiphysics Modeling,,CNT,,,,0.95
148,Catalytic Formation of Narrow Nb Nanowires inside Carbon Nanotubes,,CNT,,,,0.95
274,Investigation of Reaction Kinetics in Carbon Anode with Nano-Fillers through Impedance Spectroscopy,10.1149/ma2020-012387mtgabs,CNT,,,,0.95
446,Large area photoelectrodes based on hybrids of CNT fibres and ALD grown TiO2,10.1039/C7TA08074C,CNT,,,,0.95
588,Electrochemical Synthesis of Sensitive Layer of Polyaniline/Multi Wall Carbon Nanotube Composite,10.4028/www.scientific.net/msf.695.336,CNT,,,,0.95
606,Exploration of carbon nanotube and copper-carbon nanotube composite for next generation on-chip energy efficient interconnect applications,10.70675/76ef33c7z74cdz43f2z8d6dzacb7c170ce1a,CNT,,,,0.95
611,The effect of carbon nanotube amount in machining of ZA-27 matrix carbon nanotube reinforced nano composite,10.21203/rs.3.rs-355460/v1,CNT,,,,0.95
615,Carbon nanotube/polymer composite membrane for CO2 capture,10.58837/chula.the.2017.84,CNT,,,,0.95
620,Synthesis of carbon nanotube-tungsten oxide composite for carbon dioxide sensing application,10.58837/chula.the.2011.1782,CNT,,,,0.95
636,Preparation of Silicon/Carboxymethylcellulose-Polydopamine/Carbon Nanotube Composite Material and Its Electrochemical Performance as Anode of Lithium-Ion Batteries,10.1115/1.4069103,CNT,,,,0.95
33,Preparation of Ag-CNTs and Ag-Graphene nanocomposite and their combination with MnO2 bath deposition for flexible supercapacitor development.,10.58837/chula.the.2019.375,CNT,,,,0.9
140,Carbon nanotube synthesis from propane decomposition on a pre-treated Ni overlayer,10.1007/s12034-009-0020-1,CNT,,,,0.9
145,Modeling the Auxetic Transition for Carbon Nanotube Sheets,10.1103/PhysRevB.78.115408,CNT,,,,0.8
457,Inter-shell interaction in double walled carbon nanotubes: charge transfer and orbital mixing,,CNT,,,,0.8
598,Electrochemical synthesis and corrosion behaviour of polypyrrole and polypyrrole/carbon nanotube nanocomposite films,10.1177/0021998313495904,CNT,,,,0.8
607,Spinel MnFe2O4/N-doped carbon nanotube composite for sensitive electrochemical detection of dopamine,10.2139/ssrn.6179159,CNT,,,,0.8
772,EIS-guided LTO Nanoflakes-decorated MWCNT Electrochemical Sensor for Efficient Detection of Paracetamol Associated with Hepatotoxicity,10.2139/ssrn.6384307,CNT,,,,0.8
138,Structural characterization of carbon nanotubes via the vibrational density of states,10.1016/j.carbon.2017.03.030,CNT,,,,0.7
147,Carbon nanotube chirality determines properties of encapsulated linear carbon chain,10.1021/acs.nanolett.8b01681,CNT,,,,0.7
232,Non-Enzymatic Glucose sensing properties of NiO nanostructured flower decorated Exfoliated Graphite Electrodes,,CNT,,,,0.7
505,A model of an optical biosensor detecting environment,,CNT,,,,0.7
613,Comparative Studies of Electrochemical Behaviors of Benzenediols at a Gold Nanoparticle/carbon Nanotube Composite Modified Glassy Carbon Electrode,10.14447/jnmes.v14i3.108,CNT,,,,0.7
784,"A Wearable, Textile-Based Polyacrylate Imprinted Electrochemical Sensor for Cortisol Detection in Sweat",10.3390/bios12100854,CNT,,,,0.7
66,New Electrochemical Characterization Methods for Nanocomposite Supercapacitor Electrodes,,CNT,,,,0.6
133,Experimental and Theoretical Aspects of the Fragmentation of Carbon's Single and Multi-Walled Nanotubes,10.1007/978-3-319-70614-6_71-1,CNT,,,,0.6
135,Toxicity of Carbon Nanomaterials,10.1002/9783527830978.ch6,CNT,,,,0.6
137,Encapsulating C59N azafullerene derivatives inside single-wall carbon nanotubes,10.1002/pssb.200669200,CNT,,,,0.6
150,Carbon Nanotube Based Electrochemical Supercapacitor Electrodes,10.21236/ada561536,CNT,,,,0.6
151,Carbon Nanotube Thin Film Supported by Nickel Nanotube Array as Supercapacitor Electrode with Improved Rate Capability,10.31274/etd-180810-5605,CNT,,,,0.6
152,Carbon Nanotube Based Robust and Flexible Solid-State Supercapacitor,10.1021/acsami.1c12551.s002,CNT,,,,0.6
154,"Review for ""Electrochemical Performance and Characterization of Supercapacitor Device Using Carbon Nanotube/Graphene Nanoplatelet Composites with Biomass-Derived Carbon Dots""",10.1039/d5nr02603b/v1/review1,CNT,,,,0.6
155,Microfluidic Impedance-Metric Biosensor for Monitoring Carbon Nanotube-Induced Epithelial Permeability,10.33915/etd.4972,CNT,,,,0.6
156,Microwave Impedance Spectroscopy of Dense Carbon Nanotube Bundles,10.1021/nl072315j.s001,CNT,,,,0.6
157,MnO2/Porous Carbon Nanotube/MnO2 Nanocomposites for High-Performance Supercapacitor,10.1021/acsanm.0c02163.s001,CNT,,,,0.6
227,"Review for ""Tailoring NiCoCu layered double hydroxide with Ag-citrate/polyaniline/functionalized SWCNTs nanocomposites for supercapacitor applications""",10.1039/d4ra01324g/v2/review1,CNT,,,,0.6
