id,title,authors,doi,arxiv_id,year,journal,application,source_api,url,pdf_url
40,Achieving Extraordinary Acoustic Transmission in a Single Slit by Boundary Impedance Engineering,"[""J. Sumaya-Martinez"", ""J. Mulia-Rodriguez""]",,2601.00778v1,2026,,fuel_cell,arxiv,http://arxiv.org/abs/2601.00778v1,https://arxiv.org/pdf/2601.00778v1
174,Sol-gel engineered diffusion-type nickel cobaltite hollow fibrous electrode for high-capacity hybrid supercapacitors,"[""Mohammed Kuku"", ""Mohammad Arishi""]",10.1007/s10971-025-07046-3,,2026,Journal of Sol-Gel Science and Technology,supercapacitor,crossref,https://doi.org/10.1007/s10971-025-07046-3,https://link.springer.com/content/pdf/10.1007/s10971-025-07046-3.pdf
213,Non-Enzymatic Glucose sensing properties of NiO nanostructured flower decorated Exfoliated Graphite Electrodes,"[""Piyush Choudhary"", ""Chhavi Chetiwal"", ""Chandra Prakash"", ""Vijay K. Singh"", ""Ambesh Dixit""]",,2601.17444v1,2026,,fuel_cell,arxiv,http://arxiv.org/abs/2601.17444v1,https://arxiv.org/pdf/2601.17444v1
274,Scalable Impedance Identification of Diverse IBRs via Cluster-Specialized Neural Networks,"[""Quang Manh Hoang"", ""Guilherme Vieira Hollweg"", ""Bang Nguyen"", ""Akhtar Hussain"", ""Wencong Su"", ""Van-Hai Bui""]",,2603.23203v1,2026,,,arxiv,http://arxiv.org/abs/2603.23203v1,https://arxiv.org/pdf/2603.23203v1
394,Lossless propagation of PT graphene plasmons,"[""Andrianos Sygrimis"", ""Giorgos P. Tsironis""]",,2603.21274v1,2026,,,arxiv,http://arxiv.org/abs/2603.21274v1,https://arxiv.org/pdf/2603.21274v1
491,Glance and Focus Reinforcement for Pan-cancer Screening,"[""Linshan Wu"", ""Jiaxin Zhuang"", ""Hao Chen""]",,2601.19103v2,2026,,,arxiv,http://arxiv.org/abs/2601.19103v2,https://arxiv.org/pdf/2601.19103v2
553,A large scale multi-modal workflow for battery characterization: from concept to implementation,"[""Fran\u00e7ois Cadiou"", ""Cinthya Herrera"", ""Duncan Atkins"", ""Elixabete Ayerbe"", ""Giorgio Baraldi"", ""St\u00e9phanie Belin"", ""Anass Benayad"", ""Didier Blanchard"", ""Federico Capone"", ""Ennio Capria"", ""Isidora Cekic Laskovic"", ""Robert Dominko"", ""Kristina Edstr\u00f6m"", ""Ajay Gautam"", ""Lukas Helfen"", ""Antonella Iadecola"", ""Quentin Jacquet"", ""Gregor Kapun"", ""Xinyu Li"", ""Aleksandar Matic"", ""Nataliia Mozhzhukhina"", ""Andrew J Naylor"", ""Poul Norby"", ""Chris O Keefe"", ""Alexandre Ponrouch"", ""Jean Pascal Rueff"", ""Elena Tchernykova"", ""Deyana Tchitchekova"", ""Israel Temprano"", ""Nikita Vostrov"", ""Marnix Wagemaker"", ""Martin Winter"", ""Christian W\u00f6lke"", ""Tejs Vegge"", ""Sandrine Lyonnard""]",,2602.09771v1,2026,,,arxiv,http://arxiv.org/abs/2602.09771v1,https://arxiv.org/pdf/2602.09771v1
561,Sizing of Battery Considering Renewable Energy Bidding Strategy with Reinforcement Learning,"[""Taiyo Mantani"", ""Hikaru Hoshino"", ""Tomonari Kanazawa"", ""Eiko Furutani""]",10.1109/PESGM52009.2025.11225126,2602.19428v1,2026,"T. Mantani, H. Hoshino, T. Kanazawa and E. Furutani, ""Sizing of Battery Considering Renewable Energy Bidding Strategy with Reinforcement Learning,"" 2025 IEEE Power & Energy Society General Meeting (PESGM), Austin, TX, USA, 2025",,arxiv,http://arxiv.org/abs/2602.19428v1,https://arxiv.org/pdf/2602.19428v1
644,LPC3D: An Enhanced Parallel Software for Large-Scale Simulation of Adsorption in Porous Carbons and Supercapacitors,"[""El Hassane Lahrar"", ""Mathieu Salanne"", ""Rudolf Weeber"", ""C\u00e9line Merlet""]",,2603.22553v1,2026,,,arxiv,http://arxiv.org/abs/2603.22553v1,https://arxiv.org/pdf/2603.22553v1
857,Synergistic PANI/PEDOT: PSS/MnO2 composites electrode for superior supercapacitor performance,"[""Lila Meziane"", ""Naima Boudieb"", ""Mohamed Loucif Seiad"", ""Imane Zaoui"", ""Imane Mechairi"", ""Amine Doumaz""]",10.1007/s00396-025-05524-2,,2026,Colloid and Polymer Science,,crossref,https://doi.org/10.1007/s00396-025-05524-2,https://link.springer.com/content/pdf/10.1007/s00396-025-05524-2.pdf
864,Impact of PEDOT: PSS Electrode Work Function on DPPEZnP TBO Based Active Layer in Tandem Organic Solar Cells,"[""Sanjay Narayan Barman"", ""Pinaki Laha"", ""Rakesh Kumar""]",10.13005/msri/220303,,2026,Material Science Research India,,crossref,https://doi.org/10.13005/msri/220303,
912,"Review for ""Defect Engineered Unzipped Multiwalled Carbon Nanotube/ Vanadium Pentoxide Composite for High-Performance Supercapacitor Application""",[],10.1039/d6ra00149a/v1/review1,,2026,,,crossref,https://doi.org/10.1039/d6ra00149a/v1/review1,
951,Enhanced nanocomposite susceptibility by field-alignment of superparamagnetic particles,"[""Mathias Zambach"", ""Miriam Var\u00f3n"", ""Thomas Veile"", ""Matti Knaapila"", ""L\u00e1szl\u00f3 Alm\u00e1sy"", ""Tom\u00e1s S. Plivelic"", ""Christer Johansson"", ""Ziwei Ouyang"", ""Marco Beleggia"", ""Cathrine Frandsen""]",,2603.29983v1,2026,,,arxiv,http://arxiv.org/abs/2603.29983v1,https://arxiv.org/pdf/2603.29983v1
1003,"Review for ""Exploring the storage applications of FeS-ZnO nanocomposite as a negative electrode for asymmetric supercapacitors""",[],10.1039/d5ma01110h/v2/review2,,2026,,,crossref,https://doi.org/10.1039/d5ma01110h/v2/review2,
1028,"Review for ""β-Cyclodextrin-Functionalized Acetylene Black Nanocomposite Electrode with Enhanced Host-Guest Enrichment for Ultralow-Level Detection of Niclosamide""",[],10.1039/d5ra09466f/v1/review2,,2026,,,crossref,https://doi.org/10.1039/d5ra09466f/v1/review2,
1065,PEG- and PVP-assisted wet-chemical synthesis of ZnS quantum dots via hydrothermal and co-precipitation methods for route-dependent structural and bandgap tuning,"[""Rao Uzair Ahmad"", ""Nasir Javed"", ""Falak Sher""]",,2601.07554v3,2026,,,arxiv,http://arxiv.org/abs/2601.07554v3,https://arxiv.org/pdf/2601.07554v3
1097,Facile hydrothermal synthesis of DyAlO3/PANI nanostructure electrode material for supercapacitor applications,"[""Bushra Noor"", ""Nabila E. Yousif"", ""Hala M. Abo-Dief"", ""Abdul Khaliq"", ""Shahir Hussain"", ""Rizwan Ul Hassan"", ""Abhinav Kumar""]",10.1007/s11696-025-04501-x,,2026,Chemical Papers,,crossref,https://doi.org/10.1007/s11696-025-04501-x,https://link.springer.com/content/pdf/10.1007/s11696-025-04501-x.pdf
1103,One-step hydrothermal synthesis of Nb5+-doped α-MnO2 nanoparticle for high-performance asymmetric supercapacitor electrode material,"[""Yongyuan Wang"", ""Xuyin Li"", ""Chaoyong Xu"", ""Jianchun Cao""]",10.1007/s10854-026-17154-7,,2026,Journal of Materials Science: Materials in Electronics,,crossref,https://doi.org/10.1007/s10854-026-17154-7,https://link.springer.com/content/pdf/10.1007/s10854-026-17154-7.pdf
1153,Combining laser ablation and Sol-Gel techniques for the synthesis of nanostructured organic-inorganic matrices,"[""E. Haro-Poniatowski"", ""C. A. Guar\u00edn"", ""L. G. Mendoza-Luna"", ""L. Escobar-Alarc\u00f3n"", ""J. L. Hern\u00e1ndez-Pozos"", ""L. I. Vera-Robles"", ""P. Castillo"", ""F. Cabello"", ""J. Toudert"", ""F. Chac\u00f3n-S\u00e1nchez"", ""M. Garc\u00eda-Pardo"", ""R. Serna"", ""J. Gonzalo"", ""J. Sol\u00eds""]",,2601.10889v1,2026,,,arxiv,http://arxiv.org/abs/2601.10889v1,https://arxiv.org/pdf/2601.10889v1
1199,"Synthesis and characterization of boron, copper, and zinc-doped hydroxyapatite by sol-gel method: research of absorption and thermal behavior","[""Dilek \u00c7anak\u00e7\u0131""]",10.1007/s10971-025-07019-6,,2026,Journal of Sol-Gel Science and Technology,,crossref,https://doi.org/10.1007/s10971-025-07019-6,https://link.springer.com/content/pdf/10.1007/s10971-025-07019-6.pdf
1211,PANDA-film: an automated system for electrodeposition of polymer thin films and their wetting analysis,"[""Harley Quinn"", ""Gregory A. Robben"", ""Zhaoyi Zheng"", ""Jin Yan"", ""Yuanzhi Li"", ""Zhaoji Yang"", ""Maria Politi"", ""Nadya Peek"", ""Lilo Pozzo"", ""J\u00f6rg G. Werner"", ""Keith A. Brown""]",,2601.07043v1,2026,,,arxiv,http://arxiv.org/abs/2601.07043v1,https://arxiv.org/pdf/2601.07043v1
1264,Electrodeposited Co3O4 Thin Film Over Stainless Steel Substrate for High-Performance Supercapacitor Electrodes,"[""Aman Kumar"", ""Shradha Roy"", ""Roupya Gopal Ghosh Ghosh"", ""Ayan Mukherjee""]",10.1149/2162-8777/ae4067,,2026,ECS Journal of Solid State Science and Technology,,semantic_scholar,https://www.semanticscholar.org/paper/3a7d82c7c252a69bac70cfd97565adfff0ecd10d,
1416,Sol-Gel-Derived NiO/ZnO Thin Films with Single and Heterostructure Layers for Electrochemical Energy Storage,"[""Miss Nourin Nurain Amina"", ""Md Noushad Hossain"", ""Muhammad Shahriar Bashar"", ""Munira Sultana"", ""Md. Salahuddin Mina""]",,2601.01479v1,2026,,,arxiv,http://arxiv.org/abs/2601.01479v1,https://arxiv.org/pdf/2601.01479v1
